Type,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Qty sold
menuItem,DINNER,Sides,,Grilled Corn On The Cob,,,Food,127
menuItem,DINNER,Sides,,Brussels sprouts & autumn squash,,,Food,221
menuItem,DINNER,Sides,,Braised Collard Greens,,,Food,69
menuItem,DINNER,Sides,,Rice,,,Food,218
menuItem,DINNER,Sides,,Midnight Black Beans De Olla,,,Food,163
menuItem,DINNER,Sides,,Pinquito Beans Refritos,,,Food,104
menuItem,DINNER,Sides,,Pinquinto Beans whole,,,Food,59
menuItem,DINNER,Sides,,Sd Mole Negro,,,Food,4
,DINNER,Dessert,,,,,,893
menuItem,DINNER,Dessert,,Arroz Con Leche,,,Food,129
menuItem,DINNER,Dessert,,Flan,,,Food,304
menuItem,DINNER,Dessert,,Oaxacan Chocolate Budin,,,Food,338
menuItem,DINNER,Dessert,,Churro Bites,,,Food,83
menuItem,DINNER,Dessert,,Pan De Muerto,,,Food,26
menuItem,DINNER,Dessert,,Empanadas de Manzana,,,Food,13
,DINNER,Group Dining,,,,,,2
menuItem,DINNER,Group Dining,,Fire course 1,,,Food,1
menuItem,DINNER,Group Dining,,Fire course 2,,,Food,1
,INDOOR DRINKS,,,,,,,6557
,INDOOR DRINKS,House Cocktails,,,,,,3894
menuItem,INDOOR DRINKS,House Cocktails,,Margarita,,,Liquor,1391
menuItem,INDOOR DRINKS,House Cocktails,,Cadillac Margarita,,,Liquor,23
menuItem,INDOOR DRINKS,House Cocktails,,Mezcal Margarita,,,Liquor,113
menuItem,INDOOR DRINKS,House Cocktails,,Margarita (zero proof),,,Liquor,119
menuItem,INDOOR DRINKS,House Cocktails,,Palomaesque,,,Liquor,313
menuItem,INDOOR DRINKS,House Cocktails,,The Comal Swizzle,,,Liquor,397
menuItem,INDOOR DRINKS,House Cocktails,,El Chavo,,,Liquor,108
menuItem,INDOOR DRINKS,House Cocktails,,Jack Satan,,,Liquor,399
menuItem,INDOOR DRINKS,House Cocktails,,Joaquin Murrieta,,,Liquor,149
menuItem,INDOOR DRINKS,House Cocktails,,Abuelo Sucio,,,Liquor,222
menuItem,INDOOR DRINKS,House Cocktails,,Michelada,,,Liquor,20
menuItem,INDOOR DRINKS,House Cocktails,,Cocktail Al Pastor,,,Liquor,103
menuItem,INDOOR DRINKS,House Cocktails,,Matt's Cocktail,,,Liquor,74
menuItem,INDOOR DRINKS,House Cocktails,,Quince Essential,,,Liquor,53
menuItem,INDOOR DRINKS,House Cocktails,,Summer Camp,,,Liquor,88
menuItem,INDOOR DRINKS,House Cocktails,,La Maravilla,,,Liquor,57
menuItem,INDOOR DRINKS,House Cocktails,,Jolly Ranchero,,,Liquor,81
menuItem,INDOOR DRINKS,House Cocktails,,Pucker Punch,,,NA Beverage,147
menuItem,INDOOR DRINKS,House Cocktails,,Mexican Coffee,,,Liquor,26
menuItem,INDOOR DRINKS,House Cocktails,,Agua Fresca Con Carne,,,Liquor,1
menuItem,INDOOR DRINKS,House Cocktails,,Taste of...,,,Liquor,9
menuItem,INDOOR DRINKS,House Cocktails,,Side of Limes,,,Liquor,1
,INDOOR DRINKS,Classic Cocktails,,,,,,81
menuItem,INDOOR DRINKS,Classic Cocktails,,Aperol Spritz,,,Liquor,3
menuItem,INDOOR DRINKS,Classic Cocktails,,Aviation,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Bloody Mary,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Dark $ Stormy,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Hot Toddy,,,Liquor,4
menuItem,INDOOR DRINKS,Classic Cocktails,,Last Word,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Lemon Drop,,,Liquor,1
