Menu,Menu group,Item,Sales Category,Qty sold,Daily Avg Qty Sold
DINNER,Plato Fuerte,Pork Chile Verde,Food,12.0,0.2
DINNER,Masa,Gorditas,Food,11.0,0.18333333333333332
DINNER,Plato Fuerte,Beef Brisket,Food,9.0,0.15
DINNER,Botonas,Arbol Refill,Food,7.0,0.11666666666666667
DINNER,Botonas,Puja Refill,Food,7.0,0.11666666666666667
DINNER,Botonas,Cascabel Refill,Food,5.0,0.08333333333333333
DINNER,Plato Fuerte,Zarandeado,Food,5.0,0.08333333333333333
DINNER,Sides,Sd Mole Negro,Food,4.0,0.06666666666666667
DINNER,Plato Fuerte,Roasted Turkey w/ Mole,Food,4.0,0.06666666666666667
DINNER,Masa,Cheese Enchilada,Food,4.0,0.06666666666666667
DINNER,Antojitos,Extra Meatball,Food,2.0,0.03333333333333333
DINNER,Masa,Lengua Tacos,Food,2.0,0.03333333333333333
DINNER,Masa,Squash Blossoms Quesadilla,Food,2.0,0.03333333333333333
